feature;importance
CC_AMT_TOTAL_RECEIVABLE_MAX;3.810823533244875e-05
REFUSED_APP_CREDIT_PERC_MIN;3.806582738222372e-05
CC_AMT_DRAWINGS_ATM_CURRENT_SUM;3.783695460257279e-05
BURO_DAYS_CREDIT_MIN;3.7836925778455864e-05
CC_AMT_RECIVABLE_MIN;3.732744211668876e-05
CC_AMT_DRAWINGS_ATM_CURRENT_VAR;3.397455035911908e-05
REFUSED_APP_CREDIT_PERC_MEAN;3.3713181890647455e-05
REFUSED_APP_CREDIT_PERC_MAX;3.147949526441733e-05
POS_SK_DPD_MEAN;3.117784950035893e-05
REFUSED_DAYS_DECISION_MAX;3.093842083595099e-05
CC_AMT_RECEIVABLE_PRINCIPAL_SUM;3.06814890431551e-05
PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN;2.7551648524593054e-05
ACTIVE_AMT_CREDIT_SUM_SUM;2.7300468597629598e-05
CC_AMT_DRAWINGS_ATM_CURRENT_MAX;2.5507196878054256e-05
REFUSED_AMT_GOODS_PRICE_MIN;2.534286662139225e-05
REFUSED_AMT_CREDIT_MAX;2.004105351105103e-05
CC_AMT_DRAWINGS_ATM_CURRENT_MIN;1.9581726541383636e-05
REFUSED_AMT_CREDIT_MIN;1.8717578592627132e-05
REFUSED_AMT_ANNUITY_MIN;1.6842543659314018e-05
CC_AMT_RECIVABLE_SUM;1.655186071007702e-05
REFUSED_AMT_ANNUITY_MEAN;1.612397363173467e-05
FLAG_DOCUMENT_18;1.20399199639254e-05
CC_CNT_DRAWINGS_POS_CURRENT_MEAN;1.2007961470684045e-05
REFUSED_DAYS_DECISION_MEAN;9.872880761604537e-06
ACTIVE_AMT_CREDIT_SUM_MEAN;6.315173096434757e-06
CC_AMT_DRAWINGS_POS_CURRENT_MAX;1.4309726428031082e-06
PREV_APP_CREDIT_PERC_VAR;1.3249584705005233e-06
CC_CNT_DRAWINGS_ATM_CURRENT_MIN;0.0
CC_CNT_DRAWINGS_CURRENT_SUM;0.0
REFUSED_AMT_APPLICATION_MIN;0.0
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN;0.0
ACTIVE_AMT_ANNUITY_MEAN;0.0
FLAG_DOCUMENT_11;0.0
FLAG_DOCUMENT_9;0.0
CLOSED_DAYS_CREDIT_ENDDATE_MIN;0.0
CLOSED_DAYS_CREDIT_ENDDATE_MEAN;0.0
CLOSED_AMT_CREDIT_SUM_MAX;0.0
ACTIVE_AMT_ANNUITY_MAX;0.0
